Name,CategoryName,Contact Number,City,Address,Website
Javed Iqbal Medical Store,Medical Center,N/A,Chitrāl,"Zero point Drosh, Bazar, Chitrāl, ",N/A
Kausar First Aid & Medical Centre,Hospital,+92 333 3916780,Khuzdar,"Basima - Khuzdar Hwy, Khuzdar, ",N/A
Rimsa Medical Center,Medical Center,N/A,Dādu,"PQHC+CMC, Police Line Rd, Dādu, ",N/A
Government Medical Institute of science kidney transplant,Hospital department,+92 316 3283892,Gambat,"9G2G+394, Gambat, 66070, ",N/A
Dr Amjad Ali,Hospital,+92 244 360307,Nawabshah,"Chowk, Mohsin Medicare Center, Masjid Rd, near Edhi, Nawabshah, 67450, ",N/A
Civil Hospital Larkana,Hospital,+92 335 6559909,Larkana,"H636+94G civil hospital, Jail Raod, Larkana, ",N/A
River City Hospital Sukkur,Hospital,+92 71 5825050,Sukkur,"PRG7+6XF, Imdad Ali Awan Rd, Soarth Memon Housing Society, Sukkur, ",N/A
"PAF Hospital, Shahbaz",Hospital,+92 330 3216095,Jacobabad,"7FHH+4V2, Jacobabad, ",N/A
Red Crescent Hospital Sukkur,Hospital,+92 243 715743,Sukkur,"MVW8+9G4, Sanghi, 65200, ",N/A
DHQ Hospital Kamber,Government hospital,N/A,Qambar,"HXJW+9XC, Qambar, ",N/A
SIUT Chablani Medical Centre,General hospital,+92 71 5612159,Sukkur,"MVW8+9MV, Menara road, Takkar Muhalla, Sukkur, ",www.siut.org/
Ali hospital,Hospital,+92 314 6451928,Larkana,"Wagan Rd, Larkana, ",www.alihospitallarkana.com/
Larkana General Hospital (LGH),Hospital,+92 313 6455550,Larkana,"H643+R4J, Main commissioner road, Shahbaz Colony, Larkana, 77150, ",www.larkanageneralhospital.com/
SICVD Sukkur,Heart hospital,+92 71 9311101,Sukkur,"PR2P+MF3, Indus Hwy, Bachal Shah Miani, Sukkur, 65200, ",sicvd.org.pk/
DHQ Hospital,Hospital,+92 838 710603,Dera Murad Jamali,"G6R5+XWV, Tehsil Road, Dera Murad Jamali, ",N/A
Sukkur Blood Bank Hospital,Hospital,+92 71 5615922,Sukkur,"MVXC+98M, Eid Gah Road, Sukkur, ",N/A
Civil Hospital Naushahro Feroze,Hospital,+92 300 4508017,Rawalpindi,"Emergency Ward, CMH Rd, Pir Mohala Rawalpindi, ",N/A
Sindh Medical Centre,Hospital,+92 243 551156,Khairpur,"Shah Abdul Latif University road, old National Hwy, Bhurgari, Khairpur, ",m.facebook.com/smc.khp/?tsid=0.9124404308564474&source=result
river city hospital sukkur,General hospital,+92 71 5825050,Sukkur,"PRG7+5WR river city hospital, Soarth Memon Housing Society, Sukkur, ",N/A
KHAS Hospital Shikarpur,,+92 726 513344,Shikarpur,"Shikarpur, ",khasfoundation.org/
Railway Hospital Sukkur,Hospital,+92 71 9310067,Sukkur,"MVX8+878, Station Rd, Takkar Muhalla, Sukkur, ",N/A
City Hospital Sukkur,Medical Center,+92 312 6200001,Sukkur,"Airport Road, Akhuwat Nagar Society Friends Co-operative Housing Society, Sukkur, 65200, ",www.cityhospitalskr.com/
river city hospital sukkur,General hospital,N/A,Sukkur,"PRG7+5WR river city hospital, Soarth Memon Housing Society, Sukkur, ",N/A
Children Hospital Sukkur (SICHN),Hospital,+92 71 5635101,Sukkur,"PR3J+GVV, AH2, Sukkur, ",N/A
Al-Khair General Hospital Sukkur,Hospital,+92 71 5631772,Sukkur,"PR5V+9JQ, Airport Rd, Sindhi Cooperative Housing Society, Sukkur, ",N/A
indus hospital and health network larkana office,Community center,+92 74 4055377,Larkana,"H55V+384, Larkana, ",N/A
Civil Hospital Casuality Section,Government hospital,+92 303 8370898,Sukkur,"PV2F+97W, Sukkur, ",N/A
Rohri Taluka Hospital Sukkur,Hospital,N/A,Burewala,"MVMR+R9R, Factory Rd, Adda Mana More Burewala, ",N/A
Mission Hospital,Hospital,N/A,Sukkur,"MVVC+V5H, Sukkur, ",N/A
SICVD Larkana,Hospital,N/A,Larkana,"Department of Cardiology, Civil Hospital, 77150 VIP Rd, Larkana, ",sicvd.org.pk/
Civil Hospital,Medical Center,N/A,Gambat,"8GXG+X7J, Gambat - Ranipur Roadd, Gambat, ",N/A
Rural Health Centre/ Hospital,Hospital,+92 333 7551669,Mian Sahib,"5J4V+43W, Mian Sahib, ",N/A
Cure Center Hospital,Hospital,+92 71 5624324,Sukkur,"Miani Rd, Baghe Hayat Ali Shah, Sukkur, ",N/A
Govt Hospital Mena,Government hospital,+92 800 777 55,Kambar Ali Khan,"M396+W84, Kambar Ali Khan, ",N/A
Govt Hospital Village Sadiq Machi,Government hospital,+92 800 223 33,Shahdādkot,"8Q4C+VMQ, Canal Rd, Shahdādkot, ",N/A
Karachi Hospital,Private hospital,N/A,Usta Muhammad,"52HR+6M2, Haq Bahoo Darbar Rd, Haq Bahoo Colony, Usta Muhammad, ",N/A
Civil Hospital,Hospital,N/A,Dādu,"Brohi Colony Mastoi Mohalla, Dādu, ",N/A
Civil Hospital,Government hospital,N/A,Sadarji Bhatyoon,"HGWX+P6X, Sadarji Bhatyoon, ",N/A
PPHI Hetam Sohoo Hospital,Hospital,N/A,N/A,"CWC6+WQ7, Hetam Sohoo, ",N/A
Government Hospital,Government hospital,N/A,Mirzapur,"RH5C+8Q8 Study, street, Mirzapur, ",N/A
Aksa Hospital,Hospital,N/A,Gambat,"9G4F+92W, Gambat, ",N/A
Mutahar Medical Centre,Medical Center,N/A,Khairpur,"GQC2+J4J, Sandilo Colony Khairpur, ",N/A
Govt hospital Goni gresha,Government hospital,N/A,N/A,"FWC9+R7F, ",N/A
Sultana Memorial Hospital,Medical Center,N/A,Halani,"38P9+FMF, Halani, ",N/A
Govt Hospital,Government hospital,N/A,Larkana,"J6J3+J5X, Larkana, ",N/A
Government Hospital Dhamrah,Hospital,N/A,ڳوٺ ڌهامراه,M63X+PHW، ,N/A
LRBT Eye Hospital,Hospital,+92 332 2743824,Gambat,"8GVF+W4H, Gambat - Ranipur Roadd, Gambat, ",www.lrbt.org.pk/
DHQ Hospital,Hospital,N/A,Dera Allah Yar,"99F2+558, Tehsil Road, Dera Allah Yar, ",N/A
Dong Hospital Hathidar Road Shikarpur,Hospital,N/A,Shikarpur,"XJ4P+RX2, Sukpul, Shikarpur, ",N/A
Mumtaz Phulpoto Dispensary Hospital Govt. of Sindh,Hospital,+92 333 7597830,Khairpur,"JQV9+4V9, Khairpur, ",N/A
Iranii hospital khairpur,Hospital,N/A,Khairpur,"GQG4+62G Iranii hospital, Mirwah Colony, Khairpur, ",N/A
Govt Hospital Mehrab Sandhelo,Government hospital,+92 800 777 55,Larkana,"C2XJ+FH6, Larkana, ",N/A
THQ Hospital,Hospital,N/A,Gambat,"Gambat, ",N/A
Civil Hospital Kotdiji,Hospital,N/A,Kot Diji,"8PQ5+35W, Mehrano Rd, Kot Diji, ",N/A
Government Hospital,Government hospital,N/A,Jhal Magsi,"899J+CRF, Jhal Magsi, ",N/A
Govt Hospital Mehar Buriro,Government hospital,+92 800 777 55,Rato Dero,"R7XF+XGQ, Rato Dero, ",N/A
Civil Hospital,Hospital,N/A,Usta Muhammad,"52FR+PQ5, Civil Hospital Rd, Usta Muhammad, 80300, ",N/A
BHU Village Haji Khawasti Brohi Hospital Shikarpur,Hospital,+92 300 3790763,N/A,"N-55, ",N/A
Old Taluka Hospital Sukkur,Hospital,N/A,RCW Rohri,"Old Governnment Civil Hospital, RCW Rohri, ",N/A
Hospital,Hospital,N/A,Ghulam Shah,"2888+5WX, Ghulam Shah, ",N/A
DHQ Hospital,Hospital,N/A,Khairpur,"GP9V+HH9, Civil Hospital Rd, Banaras Colony, Khairpur, 66020, ",N/A
BHU VILLAGE SARDAR CHANGEZ KHAN HOSPITAL,Hospital,+92 301 2135678,Dera Murad Jamali,"F4WJ+46, Dera Murad Jamali, ",N/A
Civil Hospital,Hospital,N/A,Hussainabad,"FQ45+PGW, Hussainabad, ",N/A
 Distric Hospital Dadu,Hospital,+92 300 3250237,N/A,"Dadu Bhan Rd, ",N/A
Civil Hospital Shikarpur,Hospital,N/A,Shikarpur,"XJ4Q+R59, Shikarpur, ",N/A
Al Hussani hospital sita road,Hospital,+92 345 8988762,Sita Road,"Main road, Sita Road, ",N/A
Apwa Hospital,Hospital,+92 310 0085062,Khairpur,"GQR3+5QR, Khairpur, ",N/A
DHQ Hospital,Hospital,+92 71 9310213,Sukkur,"Eidgah Rd, Nusrat Colony 6, Old Sukkur, Sukkur, 65200, ",N/A
Al-Shifa Trust Eye Hospital,University,+92 71 5612766,Sukkur,"MVV2+W9P, Barrage Colony, Sukkur, ",N/A
Government Hospital Budh Goth,Hospital,N/A,Village Moorani,"RQHX+8C2, Government Hospital Budh Goth, Taluka, Village Moorani، ",N/A
Charity Hospital,Hospital,N/A,Larkana,"G6WC+R58, Larkana, ",N/A
BHATTI CHILDREN HOSPITAL,Hospital,+92 71 5612181,Sukkur,"F33, 4, 7 Workshop Rd, Barrage Colony, Sukkur, 65200, ",www.bhattihospital.org/
Gandakha Hospital,Hospital,N/A,Gandakha City,"2R6X+424, Gandakha City, ",N/A
Hospital Jhali kalwari,Hospital,N/A,Jhali Kalwari,"QMXJ+XV7, Jhali Kalwari, ",N/A
Civil Hospital Wagan,Hospital,+92 336 1272178,Wagan,"FXV8+MJH, Wagan, ",N/A
Hospital,Hospital,N/A,Thorhi Bijar,"GVXM+Q7C, Thorhi Bijar, ",N/A
Dr Bhooral Memon Hospital,Hospital,N/A,Halani,"38M7+XJG, Halani, ",N/A
Dr Farooque Hospital,Hospital,+92 333 7531760,Qambar,"Qambar, ",N/A
"Bhalok Karkh, Hospital",Hospital,N/A,Khuzdar,"Q26P+F7W, Ratodero - Gwadar Motorway, Khuzdar, ",N/A
Rohri Municipal Maternity Hospital Sukkur,Hospital,N/A,RCW Rohri,"MVVV+F3Q, RCW Rohri, ",N/A
Government Hospital Banguldero,Hospital,N/A,Banguldero,"P7HM+PHW, Banguldero, ",N/A
MSF Hospital,Hospital,N/A,Dera Murad Jamali,"G6R5+XMG, Mir Arz Muhammad Jattak Rd, Dera Murad Jamali, ",N/A
Civil Hospital Mehar,Hospital,N/A,Mehar,"5RMF+4Q2, Rampur Mehar, ",N/A
SKBZ CIVIL HOSPITAL BASIMA,Hospital,N/A,Basima,"VRV8+JMX SKBZ Civil hospital, Basima, ",N/A
Civil Hospital KN Shah,Government hospital,N/A,Khairpur Nathan Shah,"Khairpur Nathan Shah, ",N/A
Govt Hospital Heesab Chandio,Government hospital,+92 800 777 55,Larkana,"G5PJ+RGJ, Haseeb Chandio Heesib Chandio, Larkana, ",N/A
"Govt Hospital Boriri Sharif,",Hospital,+92 308 8575428,Goth Boriri,"2Q29+CRV, Goth Boriri, ",N/A
Civil hospital BHU,Hospital,+92 346 3341929,Mubarakpur,"5JCP+9MF, Unnamed Road, Mubarakpur, ",www.pphisindh.org/
Civil Hospital Khairpur Surgical OPD,Hospital,N/A,Khairpur,"GP9V+CJ9, Banaras Colony, Khairpur, ",N/A
PPHI Hospital,Hospital,N/A,Mohabat Dero,"46WC+QGH, Mohabat Dero, ",N/A
Bajoi hospital,Government hospital,N/A,Parko,"2JGG+JC3, Parko, ",N/A
Animals health extension Centre Halani ,Vetenary Hospital ,N/A,Halani,"38QC+M ق۵, Halani, ",N/A
Taulka Hospital Wagan,Hospital,N/A,Wagan,"Wagan, ",N/A
Al Raheem Hospital,Hospital,N/A,Dera Murad Jamali,"G6X8+4Q4, Dera Murad Jamali, ",N/A
Civil Hospital Surab,Hospital,N/A,Surab,"F7R6+5JG, Surab, ",N/A
Labour Hospital DHQ Hospital usta Muhammsd,Hospital,N/A,Usta Muhammad,"52HG+GV7, Noorpur Jamali Usta Muhammad, ",N/A
CIVIL Hospital Naal,Government hospital,N/A,Naal,"M6M4+VV9, Naal, ",N/A
Londo mori hospital,Hospital,N/A,Misri Khan Lashari,"278X+9FV, Misri Khan Lashari, ",N/A
Lady Willington Hospital,Maternity hospital,N/A,Khairpur,"GQG5+QQF, Faujdari Rd, Panjhatti, Khairpur, ",N/A
Pphi hospital kotdiji,Hospital,N/A,Kot Diji,"8PQ3+WW9, Kot Diji, ",N/A
BHU Hospital Ghatahar,Hospital,N/A,Ghatahar,"GXM8+8V3, Road, Ghatahar, ",N/A
Shikarpur Women Hospital,Hospital,+92 303 7781155,Shikarpur,"XJ5P+CMR Women and children Trust hospital, Shikarpur, ",N/A
EPI Centre JIMs Hospital,Hospital,+92 333 7350802,Jacobabad,"7FF2+C9P, Channa Mohallah Channa Muhallah Jacobabad, ",N/A
Government Hospital Kot Ghulam Shah,Hospital,N/A,Qambar,"M24J+835, GOV Hospital , Kot Ghulam Shah, Miro Khan Rd, Qambar, ",N/A
T.B Hospital - Dadu ,Hospital,+92 22 9240111,Dādu,"PQH7+56F, Dādu, ",N/A
Eye hospital,Hospital,N/A,Ranipur,"7GM4+8FX, Ranipur Riyasat Ranipur, ",N/A
Taluka Hospital at Arija,Hospital,N/A,Arija,"C54G+GHF, Nai Gud Road, Arija, ",N/A
